"","Var1","Freq"
"278","P4HA3",1
"279","P4HB",1
"280","PAAF1",1
"281","PAK1",1
"282","PAMR1",1
"283","PARP8",1
"284","PCNP",1
"285","PCSK2",1
"286","PCYT2",1
"287","PDE6G",1
"288","PDGFRA",1
"289","PDHX",1
"290","PEAK1",1
"291","PFN1",1
"292","PGM2",1
"293","PGM2L1",1
"294","PHF3",1
"295","PHGDH",1
"296","PJA2",1
"297","PKIB",1
"298","PKP4",1
"299","PLEKHA5",1
"300","PLEKHB1",1
"301","POLD3",1
"302","POLN",1
"303","PPM1H",1
"304","PPME1",1
"305","PPP1R27",1
"306","PPP1R3B",1
"307","PRAG1",1
"308","PRAME",1
"309","PSTPIP1",1
"310","PTP4A1",1
"312","PTPRK",1
"313","PTPRR",1
"314","PTTG2",1
"315","PVALEF",1
"316","PYCR1",1
"317","QSER1",1
"318","RAB21",1
"319","RAB29",1
"320","RAB36",1
"322","RAB40B",1
"323","RAB6A",1
"324","RAC3",1
"325","RAP1B",1
"326","RASL11B",1
"327","RCN2",1
"328","RELL1",1
"329","RELT",1
"330","RETREG1",1
"331","RFC1",1
"332","RFNG",1
"333","RGMA",1
"334","RNASEK",1
"335","RNASEK-C17orf49",1
"336","RNF146",1
"337","RNF167",1
"338","RNF169",1
"339","RNF217",1
"340","RPL24",1
"341","RPL35A",1
"342","RPL9",1
"343","RPS3",1
"344","RSF1",1
"345","RSPH14",1
"346","RSPO3",1
"347","SCAPER",1
"348","SCARNA22",1
"349","SCCPDH",1
"350","SCFD2",1
"351","SECTM1",1
"352","SENP7",1
"353","SERINC1",1
"354","SH2D7",1
"355","SIRT7",1
"356","SLC13A5",1
"357","SLC16A11",1
"358","SLC16A13",1
"359","SLC16A3",1
"361","SLC1A2",1
"362","SLC25A10",1
"363","SLC25A11",1
"364","SLC25A17",1
"365","SLC25A18",1
"366","SLC35B3",1
"368","SLC38A10",1
"369","SLC41A1",1
"370","SLC45A3",1
"371","SLC52A1",1
"372","SLCO2B1",1
"373","SMPDL3A",1
"374","SMTNL2",1
"376","SNORD141A",1
"377","SNORD141B",1
"378","SNRPB2",1
"379","SPAG7",1
"380","SPCS2",1
"381","SPNS2",1
"382","SPNS3",1
"383","ST13",1
"384","TAFA2",1
"385","TBC1D1",1
"386","TBC1D15",1
"387","TBC1D23",1
"388","TBC1D32",1
"389","TBCD",1
"390","TCP11L1",1
"391","TEKT1",1
"392","TEPSIN",1
"393","TEX19",1
"394","TFB2M",1
"395","TFG",1
"396","THAP2",1
"397","THEMIS",1
"398","TJP1",1
"399","TLR1",1
"400","TLR10",1
"401","TLR6",1
"402","TMCC2",1
"403","TMEM156",1
"404","TMEM19",1
"405","TMEM232",1
"406","TMEM45A",1
"407","TOMM70",1
"408","TOP3B",1
"409","TPBGL",1
"410","TPD52L1",1
"411","TPH2",1
"412","TRIM44",1
"413","TRIM58",1
"414","TRIO",1
"415","TRMT10C",1
"416","TRMT11",1
"418","TSPAN10",1
"419","TSPAN3",1
"421","TSPAN8",1
"422","TXNDC17",1
"423","UCP2",1
"424","UCP3",1
"425","USP15",1
"426","UTS2R",1
"427","VPREB1",1
"428","WDR19",1
"429","WDR45B",1
"430","XAF1",1
"431","XRRA1",1
"433","ZBTB11",1
"434","ZCRB1",1
"435","ZFC3H1",1
"436","ZFP3",1
"437","ZNF124",1
"438","ZNF280A",1
"439","ZNF280B",1
"440","ZNF496",1
"441","ZNF596",1
"442","ZNF622",1
"443","ZNF669",1
"444","ZNF670",1
"445","ZNF670-ZNF695",1
"446","ZNF695",1
"447","ZNF697",1
"448","ZNF750",1
"449","ZPLD1",1
