"","Var1","Freq"
"194","CHRNA4",1
"195","CHRNE",1
"196","CIB1",1
"197","CIB2",1
"198","CLDN23",1
"199","CLDN3",1
"200","CLDN4",1
"201","CLEC10A",1
"202","CLEC2L",1
"203","CLIP2",1
"204","CLN8",1
"205","CLNS1A",1
"206","CLVS2",1
"207","CMBL",1
"208","CMSS1",1
"209","CMTR1",1
"212","CNPY2",1
"213","CNST",1
"214","CNTN5",1
"215","COA4",1
"216","COL20A1",1
"217","COL8A1",1
"218","COL9A3",1
"219","COQ10A",1
"220","COX10",1
"221","COX10-AS1",1
"222","CPA6",1
"224","CPNE1",1
"226","CPT1B",1
"227","CRCT1",1
"228","CREB3L2",1
"229","CREB3L2-AS1",1
"230","CRISPLD1",1
"231","CRNN",1
"232","CRTC3",1
"233","CRTC3-AS1",1
"234","CS",1
"235","CSNK1D",1
"236","CSPG4",1
"237","CSRNP2",1
"238","CSTF1",1
"239","CSTF3",1
"240","CTD-2297D10.2",1
"241","CTD-2350J17.1",1
"243","CTNND2",1
"244","CTTN",1
"245","CYBC1",1
"247","CYTH3",1
"248","DAGLB",1
"249","DAP",1
"250","DAZAP2",1
"251","DCTN2",1
"252","DCXR",1
"253","DDIT3",1
"254","DDX58",1
"255","DENND2A",1
"256","DEPDC7",1
"257","DGKI",1
"258","DHRS7C",1
"259","DIDO1",1
"260","DIP2B",1
"261","DNAJB13",1
"262","DNAJC14",1
"263","DNAJC30",1
"264","DNAJC5",1
"265","DNM1P35",1
"266","DPH3P1",1
"267","DPY19L2",1
"268","DSP",1
"269","DSTYK",1
"270","DTX3",1
"271","DUS1L",1
"273","E2F5",1
"274","ECHDC1",1
"275","EDN1",1
"276","EDN3",1
"277","EEF1A2",1
"279","EEF1E1",1
"280","EEF1E1-BLOC1S5",1
"281","EFCAB2",1
"282","EHF",1
"283","EIF2AK1",1
"284","EIF4H",1
"285","ELAC2",1
"286","ELF5",1
"287","ELFN1",1
"288","ELK4",1
"289","ELN",1
"291","ENO3",1
"292","ERGIC3",1
"293","ERI1",1
"294","ERVMER34-1",1
"295","ETFA",1
"296","EYA1",1
"297","EYS",1
"298","F13A1",1
"299","FAAP100",1
"303","FABP7",1
"305","FADD",1
"306","FAM107A",1
"307","FAM114A1",1
"308","FAM168A",1
"309","FAM209A",1
"310","FAM209B",1
"311","FAM210B",1
"312","FAM220A",1
"313","FAM3D",1
"314","FAM3D-AS1",1
"315","FAM53A",1
"316","FAM72B",1
"317","FAM86FP",1
"318","FAM90A1",1
"319","FANCI",1
"320","FARS2",1
"321","FASN",1
"322","FBXL17",1
"323","FBXL18",1
"324","FBXL7",1
"325","FBXO22",1
"326","FBXO25",1
"327","FBXO3",1
"328","FCGR1B",1
"329","FER",1
"330","FER1L4",1
"331","FES",1
"332","FGD2",1
"333","FGF19",1
"334","FGF3",1
"335","FGF4",1
"336","FGFR3",1
"337","FIGNL2",1
"338","FIGNL2-DT",1
"339","FILIP1L",1
"340","FJX1",1
"341","FKBP6",1
"342","FLG",1
"343","FLG-AS1",1
"344","FLG2",1
"345","FLJ16779",1
"346","FLJ40194",1
"347","FMC1",1
"348","FMC1-LUC7L2",1
"349","FN3K",1
"350","FN3KRP",1
"351","FNDC11",1
"352","FNTA",1
"353","FOLR1",1
"354","FOLR2",1
"355","FOLR3",1
"356","FOXK1",1
"357","FOXK2",1
"360","FSCN1",1
"361","FSCN2",1
"362","FURIN",1
"363","FZD9",1
"364","GABARAPL3",1
"365","GABPB2",1
"366","GALNT6",1
"367","GAS7",1
"368","GATA5",1
"369","GBAT2",1
"370","GC",1
"371","GCGR",1
"372","GCNT7",1
"373","GCSAML",1
"374","GCSAML-AS1",1
"375","GDAP1",1
"376","GDF11",1
"377","GDF5",1
"378","GDF5OS",1
"379","GDPD4",1
"380","GDPD5",1
"381","GDPGP1",1
"382","GFOD1",1
"383","GGT6",1
"384","GGTLC2",1
"385","GID8",1
"387","GIP",1
"388","GJA1",1
"389","GLI1",1
"390","GLIPR1",1
"391","GLIPR1L1",1
"392","GLIPR1L2",1
"393","GLS2",1
"394","GMEB2",1
"395","GNAZ",1
"396","GNGT2",1
"397","GNS",1
"398","GOLGA8H",1
"399","GOLGA8J",1
"400","GOLGA8K",1
"401","GOLGA8O",1
"402","GOLGA8Q",1
"403","GOLGA8R",1
"404","GOLGA8T",1
"405","GP1BA",1
"406","GPC5",1
"407","GPC5-AS2",1
"408","GPR182",1
