"","Var1","Freq"
"1221","ZC3HAV1",1
"1222","ZC3HAV1L",1
"1223","ZCRB1",1
"1224","ZDHHC17",1
"1225","ZDHHC4",1
"1227","ZFAND3",1
"1228","ZFC3H1",1
"1229","ZFHX4",1
"1230","ZFHX4-AS1",1
"1231","ZFP3",1
"1232","ZFP64",1
"1233","ZGPAT",1
"1234","ZNF124",1
"1235","ZNF217",1
"1236","ZNF280A",1
"1237","ZNF280B",1
"1238","ZNF496",1
"1239","ZNF512B",1
"1240","ZNF596",1
"1241","ZNF622",1
"1242","ZNF641",1
"1243","ZNF669",1
"1244","ZNF670",1
"1245","ZNF670-ZNF695",1
"1246","ZNF687",1
"1247","ZNF687-AS1",1
"1248","ZNF695",1
"1251","ZNF710",1
"1252","ZNF710-AS1",1
"1253","ZNF750",1
"1254","ZNF774",1
"1255","ZNF831",1
"1256","ZPLD1",1
